UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pablo Ulloa,@peulloa,2022-01-11T10:18:25.000Z,"Pablo Ulloa
@peulloa
·
Jan 11","Hago un llamado a la sensatez de los actores del sistema educativo dominicano para el inicio de la docencia en el día de hoy

Mejoremos los aprendizajes de nuestros estudiantes; y asumamos el Protocolo de Bioseguridad para la comunidad educativa. 

A la Clases que ya es hora 
9
31
81",🎶 🎶,9,31,81,['https://pbs.twimg.com/media/FI0GFt_XwAQJSgV?format=jpg&name=small'],https://twitter.com/peulloa/status/1480846551643734017
Noticias RNN,@NoticiasRNN,2022-01-11T19:02:53.000Z,"Noticias RNN
@NoticiasRNN
·
19h","El defensor del Pueblo, 
@peulloa
, destacó la urgencia de las reformas a la Ley de Partidos Políticos y la de Régimen Electoral para superar traumas del pasado y fortalecer el rol de la 
@juntacentral
 como órgano rector.

#NoticiasRNN  #DefensorDelPueblo #JCE #Partidos #PabloUlloa
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1480978263648444416/pu/img/H0T-oLbe9n59EHqb.jpg'],https://twitter.com/NoticiasRNN/status/1480978540644515842
Noticias RNN,@NoticiasRNN,2022-01-11T19:02:53.000Z,"Noticias RNN
@NoticiasRNN
·
19h","El defensor del Pueblo, 
@peulloa
, destacó la urgencia de las reformas a la Ley de Partidos Políticos y la de Régimen Electoral para superar traumas del pasado y fortalecer el rol de la 
@juntacentral
 como órgano rector.

#NoticiasRNN  #DefensorDelPueblo #JCE #Partidos #PabloUlloa
0:38
45 views
1",,,,1,[],https://twitter.com/NoticiasRNN/status/1480978540644515842
